USER NAME           ID                  LOCATION
================================================================================
@1DcomBR            0                   Los Angeles
@Awfy               1429                Nampa
@AimlessAndru:      1545                Boise
@34billy42          2413                Boise
@GrowlyBear         4745                Boise
@LaurenTHopkins     4953                Los Angeles
@JackOtter's        5083                Nampa
@DsNYogurt          5279                Nampa
@ImRyderx           5535                Boise
@DearNoone:         7700                Nampa
@Amaya_Teresa,      7973                Los Angeles
@FabSugar:          8019                Nampa
@LOFT               8198                Nampa
@Caroline5          9099                Boise
@Hatebreed          9109                Nampa
@MiaFarrow:         9709                Los Angeles
@DonAtPoundCS       12719               Nampa
@AaronCurry51:      13005               Nampa
@CaptPaulWatson:    13039               Los Angeles
@DevilBull18:       13173               Nampa
@Cyclometh          14705               Los Angeles
@AMRC:              14923               Boise
@BBSRC              14948               Los Angeles
@Deviliciousfood    15449               Boise
@EvanJDuncan        15539               Nampa
@GeneSimmons        17013               Boise
@adelitasway        17018               Nampa
@MNG_Crew           17071               Los Angeles
@FunnnyOrDie        17709               Nampa
@DrunkenGeeBee      17744               Los Angeles
@FrankCaliendo:     17857               Los Angeles
@ThisSpartanLife:   17908               Nampa
@PepperPom          18342               Nampa
@mjvinas            18459               Los Angeles
@NathLussier        18719               Boise
@SarahRobinson      18738               Los Angeles
@HighlandCapital    19111               Boise
@pam_padilla        20174               Boise
@Mike_FTW.          20355               Nampa
@SheenaGoodyear:    20404               Los Angeles
@boagworld:         20547               Nampa
@chopeh             20588               Boise
@jasonsantamaria    20845               Boise
@TheMarriedGamer    21551               Nampa
@aaronlinde:        21592               Boise
@AngryTrainerFit    21834               Nampa
@CRStoli            21878               Los Angeles
@HeyRacquel:        21950               Los Angeles
@JancisRobinson     21970               Boise
@bobbrainerd        22278               Nampa
@brewers            22282               Nampa
@discoveryworld     22323               Boise
@stonewalluk        22954               Nampa
@HuffP              23418               Los Angeles
@rolldiggity        24104               Nampa
@HassBdaHitman      24242               Nampa
@PwnageTimes        24339               Nampa
@judybattista:      24482               Boise
@juiceweston        24483               Boise
@kajeplays          24484               Boise
@LiveScience        24702               Boise
@OERCommons:        24713               Nampa
@PartnersinPres     24717               Boise
@SIObservatory      24723               Los Angeles
@SpaceX's           24735               Los Angeles
@SteveCase:         24737               Nampa
@SunGrazerComets    24738               Los Angeles
@RiotDarius:        25009               Los Angeles
@RiotLegit          25024               Boise
@TwitchTV.          25085               Los Angeles
@AlexTiradoPhoto    25295               Boise
@NiceQueenCersei    25450               Nampa
@Sports_Greats:     25519               Boise
@threadless:        25871               Los Angeles
@Gallery_Books:     25933               Los Angeles
@nilsgeylen         27108               Nampa
@pascalpinck:       27127               Boise
@samsoffes          27177               Boise
@screenshotsapp     27187               Nampa
@shi_at_mt          27199               Nampa
@simonsinek's       27211               Los Angeles
@simplegeo          27212               Los Angeles
@sourjayne:         27222               Los Angeles
@speakerdeck        27225               Nampa
@EPA                27490               Los Angeles
@USGSND:            27551               Los Angeles
@agentdero:         27943               Nampa
@alexandrak         27953               Los Angeles
@iA:                28189               Nampa
@indexzero          28199               Los Angeles
@jackstah           28209               Los Angeles
@jaydisc            28223               Boise
@stanfordnlp        28515               Los Angeles
@wickman            28583               Los Angeles
@xSmilesss          29107               Nampa
@xToYSoLDiieR       29108               Los Angeles
@xnasaone           29113               Nampa
@JoeBudden          29253               Los Angeles
@MLGPuckett,        29317               Boise
@MLGStr8Rippin      29328               Boise
@MrP_TLN            29359               Boise
@ARWines            29700               Nampa
@CNNMoney:          29718               Nampa
@Paso_Robles        29791               Los Angeles
@PeachyCynWinery    29793               Los Angeles
@JonPhillipsSF      30002               Los Angeles
@ShortList:         30047               Los Angeles
@janeespenson       30173               Los Angeles
@jennydeluxe:       30180               Los Angeles
@markwaid           30213               Boise
@BanKsFTW           30325               Nampa
@sporza:            30808               Los Angeles
@SassiBoB           30913               Boise
@Hurgledurf         31118               Nampa
@kweenie            31232               Los Angeles
@MK_MortalKombat:   31347               Nampa
@ESVDiamond:        31880               Nampa
@Myungwoon          31974               Boise
@QuantumPope        31994               Boise
@SlayerSCranK:      32022               Boise
@bufferapp          32285               Boise
@r38y:              32404               Nampa
@BigCat72           32517               Boise
@CeleOOKIE          32535               Nampa
@CtPound            32551               Los Angeles
@DJ_Blackspike:     32558               Los Angeles
@DailyActor:        32559               Los Angeles
@KekaiKotaki,       32722               Los Angeles
@SabreWolf18        32837               Nampa
@IdeaJason          34158               Los Angeles
@alyankovic!        34240               Nampa
@ambermac           34242               Nampa
@storagereview:     34390               Boise
@treyratcliff       34405               Boise
@wraithfodder:      34412               Boise
@7am.               34430               Nampa
@9pmET.             34432               Los Angeles
@DYNO30             34520               Los Angeles
@ESPNAndyKatz       34549               Los Angeles
@FoxNews?           34597               Boise
@JulieBanderas:     34713               Los Angeles
@NBC.               34775               Boise
@NickKalmanFN       34788               Boise
@RepMikeRogers      34827               Nampa
@davecatanese       35012               Boise
@fxnscitech:        35070               Nampa
@marykissel:        35155               Nampa
@oiltrash1027       35192               Nampa
@MarshaCollier      35844               Los Angeles
@aaroningles        35912               Boise
@c5dnews:           35943               Boise
@chcnewlook         35948               Los Angeles
@chrisweatherly:    35953               Nampa
@damoxy:            35958               Boise
@FlynnFetladral     37005               Nampa
@Fuzzysteve         37011               Boise
@ccp_karkur         37274               Los Angeles
@mrcsndrws          37385               Nampa
@mread:             37387               Boise
@qoonpooka          37409               Nampa
@reynsi             37413               Boise
@rich_thomas_ww     37414               Nampa
@rickypedia         37415               Nampa
@rox_lukas          37420               Nampa
@MrMuto             37585               Nampa
@PeriscopeStudio    37597               Los Angeles
@PontiusPyrite      37598               Boise
@comicsreporter     37700               Boise
@henningninneh      38745               Boise
@popkulturjunkie:   38818               Nampa
@seonaut            38847               Nampa
@zeitonline_kar:    38910               Nampa
@Conductor222       38933               Los Angeles
@Pusheen            39015               Nampa
@ReidGower          39018               Boise
@hughewilliams:     39531               Boise
@jorgeortiz85:      39575               Nampa
@kfow35             39584               Nampa
@zzorba42)          39783               Los Angeles
@TheStephThorpe     39829               Boise
@Optaros            39999               Boise
@Parker_Short       40001               Los Angeles
@PlayAirMech        40002               Boise
@TedMielczarek      40022               Boise
@Wired_Design       40033               Los Angeles
@acltv              40038               Boise
@drupaltruth:       40170               Los Angeles
@emalone            40179               Los Angeles
@DanKimRedMango     40510               Boise
@Jim                40533               Nampa
@andertoons         40921               Los Angeles
@awa4               40930               Nampa
@jeysiec            41005               Boise
@ReignOfApril       41375               Nampa
@RichardTrumka      41378               Boise
